37;CAL;± clausal alignment                    ;+FGK, +CSE, ¬+GP3,¬+EAL;CAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;0;0;-;-;-;+;0;0;-;-;0;0;-;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;CAL;37;;;;;;;;;;;;;;;;;;;;
38;LKA;± argument linker                        ;;LKA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;LKA;38;;;;;;;;;;;;;;;;;;;;
39;LKP;± predicative linker                        ;;LKP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;LKP;39;;;;;;;;;;;;;;;;;;;;
40;LKO;± oblique linker                        ;-LKA;LKO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;0;-;-;-;LKO;40;;;;;;;;;;;;;;;;;;;;
41;DMP;± def matching pronominal possessives;+DCN;DMP;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;-;+;-;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DMP;41;;;;;;;;;;;;;;;;;;;;
42;DMG;± def matching genitives;+DMP;DMG;0;0;0;0;0;0;0;+;0;0;0;0;0;0;0;0;0;-;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DMG;42;;;;;;;;;;;;;;;;;;;;
43;GUN;± uniform genitive;+FGK, (-GCN or (+GFP, -GP3)), -CAL, -LKA;GUN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;GUN;43;;;;;;;;;;;;;;;;;;;;
44;GAD;± free Gen;-LKA, ¬+GUN;GAD;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;0;0;0;0;+;+;-;-;0;0;-;+;+;-;-;-;-;-;-;-;-;+;+;+;0;-;-;-;GAD;44;;;;;;;;;;;;;;;;;;;;
45;GFO;± GenO;(-GCN or +GFN), ¬+GP3, ¬+EAL, ¬+GUN;GFO;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;+;-;+;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;GFO;45;;;;;;;;;;;;;;;;;;;;
46;PGO;± partial GenO;-GFO;PGO;-;-;-;-;?;-;-;-;0;0;0;0;-;-;-;0;-;0;-;-;-;-;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;PGO;46;;;;;;;;;;;;;;;;;;;;
47;GGS;± generalized GenS;+FGP, -CGR, +NWD, ¬+GFP, ¬+GUN;GGS;0;0;0;0;0;0;0;0;0;0;0;0;+;-;-;-;+;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GGS;47;;;;;;;;;;;;;;;;;;;;
48;GSI;± grammaticalized inalienability    ;;GSI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;GSI;48;;;;;;;;;;;;;;;;;;;;
49;ALP;± alienable possession;-GSI;ALP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;ALP;49;;;;;;;;;;;;;;;;;;;;
50;GEI;± genitive inversion;+GP3;GEI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;-;-;0;-;-;-;-;-;-;-;-;0;0;0;0;-;0;0;GEI;50;;;;;;;;;;;;;;;;;;;;
51;GIT;± genitive-licensing iteration             ;;GIT;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;GIT;51;;;;;;;;;;;;;;;;;;;;
52;UST;± unstructured modifiers;+ARR;UST;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;-;-;+;+;0;0;0;0;0;0;0;0;+;-;-;-;-;+;-;-;-;-;0;0;-;0;0;0;UST;52;;;;;;;;;;;;;;;;;;;;
53;GPC;± gender polarity cardinals;+FGG;GPC;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;-;GPC;53;;;;;;;;;;;;;;;;;;;;
54;PSC;± plural spread from cardinal  quantifiers;+FSN, ¬+UST, ¬+GPC;PSC;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;0;0;0;0;0;0;-;-;-;-;-;-;0;+;+;+;-;0;-;-;-;-;0;0;0;0;-;-;PSC;54;;;;;;;;;;;;;;;;;;;;
55;PCA;± plural spread through cardinal adjectives; -PSC;PCA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;0;0;0;0;-;0;-;-;-;-;0;0;0;0;-;-;PCA;55;;;;;;;;;;;;;;;;;;;;
56;PMN;± person marking on numerals;+GFP;PMN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;-;+;+;0;-;-;-;-;-;-;-;-;-;0;0;0;-;0;0;PMN;56;;;;;;;;;;;;;;;;;;;;
57;RHM;± head marking on relative clauses;+FGP;RHM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;RHM;57;;;;;;;;;;;;;;;;;;;;
58;FRC;± finite relative clauses;;FRC;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;FRC;58;;;;;;;;;;;;;;;;;;;;
59;NRC;± participial relative clauses;+FRC;NRC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;0;0;-;-;+;-;-;-;-;+;-;+;+;+;0;0;0;0;0;0;0;0;0;0;+;+;-;+;0;0;NRC;59;;;;;;;;;;;;;;;;;;;;
